year,theme,qid_key,qid,qheader,qsub,socio_group,group_,response,num,denom,percent_,Quality,ObjectId
2018,Housing quality & needs,56,50,Why does your dwelling not have all the adaptations your household needs?,Not allowed to do it,Education,High school diploma or a equivalency certificate,Yes,800,8600,9.3,Suppressed,520
2021,Financial pressures,2,2,"In the past 12 months, did any member of your household ever do any of the following because they were short of money?",Take on debt or sell an asset for day-to-day expenses,Sex,Male,"Yes, often",13300,543600,2.4,Good,521
2021,Financial pressures,2,2,"In the past 12 months, did any member of your household ever do any of the following because they were short of money?",Take on debt or sell an asset for day-to-day expenses,Overall,Total,"Yes, sometimes",67100,1093500,6.1,Good,522
2018,Housing quality & needs,56,50,Why does your dwelling not have all the adaptations your household needs?,Not allowed to do it,Education,Less than high school diploma or its equivalent,Yes,800,6200,12.9,Suppressed,523
2018,Financial pressures,2,2,"In the past 12 months, did any member of your household ever do any of the following because they were short of money?",Take on debt or sell an asset for day-to-day expenses,,Total,"Yes, sometimes",110500,1057400,10.5,Good,524
2021,Financial pressures,2,2,"In the past 12 months, did any member of your household ever do any of the following because they were short of money?",Take on debt or sell an asset for day-to-day expenses,Education,"Trade certificate, diploma, college, CEGEP or other non-university certificate","Yes, sometimes",12400,199500,6.2,Good,525
2018,Housing quality & needs,56,50,Why does your dwelling not have all the adaptations your household needs?,Not allowed to do it,Sex,Male,Yes,2000,20100,10,Use with caution,526
2018,Financial pressures,2,2,"In the past 12 months, did any member of your household ever do any of the following because they were short of money?",Take on debt or sell an asset for day-to-day expenses,Racial identity,Non-racialized,"Yes, often",33900,761000,4.5,Good,527
2018,Financial pressures,2,2,"In the past 12 months, did any member of your household ever do any of the following because they were short of money?",Take on debt or sell an asset for day-to-day expenses,Education,"Trade certificate, diploma, college, CEGEP or other non-university certificate","Yes, sometimes",19800,200400,9.9,Good,528
2021,Financial pressures,1,1,"In the past 12 months, did any member of your household ever do any of the following because they were short of money?",Asked for financial help from friends or relatives for day-to-day expenses,Racial identity,Non-racialized,"Yes, often",11300,765000,1.5,Good,529
2018,Housing quality & needs,56,50,Why does your dwelling not have all the adaptations your household needs?,Not allowed to do it,Racial identity,Non-racialized,Yes,2100,27900,7.5,Use with caution,530
2021,Financial pressures,1,1,"In the past 12 months, did any member of your household ever do any of the following because they were short of money?",Asked for financial help from friends or relatives for day-to-day expenses,Overall,Total,"Yes, often",23100,1093500,2.1,Good,531
2018,Financial pressures,1,1,"In the past 12 months, did any member of your household ever do any of the following because they were short of money?",Asked for financial help from friends or relatives for day-to-day expenses,,Total,"Yes, often",42200,1057400,4,Good,532
2018,Housing quality & needs,56,50,Why does your dwelling not have all the adaptations your household needs?,Not allowed to do it,,Total,Yes,4200,41400,10.1,Use with caution,533
2021,Financial pressures,2,2,"In the past 12 months, did any member of your household ever do any of the following because they were short of money?",Take on debt or sell an asset for day-to-day expenses,Racial identity,Non-racialized,"Yes, often",14300,765000,1.9,Good,534
2021,Financial pressures,1,1,"In the past 12 months, did any member of your household ever do any of the following because they were short of money?",Asked for financial help from friends or relatives for day-to-day expenses,Education,"Trade certificate, diploma, college, CEGEP or other non-university certificate","Yes, often",4400,199500,2.2,Use with caution,535
2018,Housing quality & needs,56,50,Why does your dwelling not have all the adaptations your household needs?,Not allowed to do it,Education,"Trade certificate, diploma, college, CEGEP or other non-university certificate",Yes,1700,7800,21.8,Suppressed,536
2021,Financial pressures,2,2,"In the past 12 months, did any member of your household ever do any of the following because they were short of money?",Take on debt or sell an asset for day-to-day expenses,Education,University certificate,"Yes, sometimes",23800,423000,5.6,Good,537
2018,Housing quality & needs,56,50,Why does your dwelling not have all the adaptations your household needs?,Not allowed to do it,Education,University certificate,Yes,,14600,,Suppressed,538
2018,Financial pressures,2,2,"In the past 12 months, did any member of your household ever do any of the following because they were short of money?",Take on debt or sell an asset for day-to-day expenses,Education,University certificate,"Yes, sometimes",30600,405300,7.5,Good,539
2018,Financial pressures,2,2,"In the past 12 months, did any member of your household ever do any of the following because they were short of money?",Take on debt or sell an asset for day-to-day expenses,Racial identity,Racialized,"Yes, sometimes",28100,285000,9.9,Good,540
2018,Housing quality & needs,56,50,Why does your dwelling not have all the adaptations your household needs?,Not allowed to do it,Racial identity,Racialized,Yes,2100,13100,16,Use with caution,541
2021,Financial pressures,2,2,"In the past 12 months, did any member of your household ever do any of the following because they were short of money?",Take on debt or sell an asset for day-to-day expenses,Racial identity,Racialized,"Yes, sometimes",19100,327000,5.8,Good,542
2021,Financial pressures,2,2,"In the past 12 months, did any member of your household ever do any of the following because they were short of money?",Take on debt or sell an asset for day-to-day expenses,Overall,Total,"Yes, often",24200,1093500,2.2,Good,543
2018,Financial pressures,1,1,"In the past 12 months, did any member of your household ever do any of the following because they were short of money?",Asked for financial help from friends or relatives for day-to-day expenses,Education,"Trade certificate, diploma, college, CEGEP or other non-university certificate","Yes, often",12500,200400,6.2,Good,544
2018,Housing quality & needs,56,50,Why does your dwelling not have all the adaptations your household needs?,Not allowed to do it,Sexual orientation,LGBTQ2S+,No,,1000,,Suppressed,545
2021,Financial pressures,1,1,"In the past 12 months, did any member of your household ever do any of the following because they were short of money?",Asked for financial help from friends or relatives for day-to-day expenses,Education,University certificate,"Yes, often",3400,423000,0.8,Use with caution,546
2018,Housing quality & needs,56,50,Why does your dwelling not have all the adaptations your household needs?,Not allowed to do it,Sex,Female,No,19100,21100,90.5,Good,547
2018,Financial pressures,1,1,"In the past 12 months, did any member of your household ever do any of the following because they were short of money?",Asked for financial help from friends or relatives for day-to-day expenses,Education,University certificate,"Yes, often",8300,405300,2,Good,548
2018,Financial pressures,2,2,"In the past 12 months, did any member of your household ever do any of the following because they were short of money?",Take on debt or sell an asset for day-to-day expenses,Sexual orientation,LGBTQ2S+,"Yes, often",1400,19800,7.1,Use with caution,549
2018,Housing quality & needs,56,50,Why does your dwelling not have all the adaptations your household needs?,Not allowed to do it,Sexual orientation,Heterosexual,No,11700,12700,92.1,Good,550
2018,Financial pressures,2,2,"In the past 12 months, did any member of your household ever do any of the following because they were short of money?",Take on debt or sell an asset for day-to-day expenses,,Total,"Yes, often",53200,1057400,5,Good,551
2018,Financial pressures,1,1,"In the past 12 months, did any member of your household ever do any of the following because they were short of money?",Asked for financial help from friends or relatives for day-to-day expenses,Racial identity,Racialized,"Yes, often",19400,285000,6.8,Good,552
2021,Financial pressures,2,2,"In the past 12 months, did any member of your household ever do any of the following because they were short of money?",Take on debt or sell an asset for day-to-day expenses,Sexual orientation,LGBTQ2S+,"Yes, often",1300,23500,5.5,Use with caution,553
2018,Housing quality & needs,56,50,Why does your dwelling not have all the adaptations your household needs?,Not allowed to do it,Education,High school diploma or a equivalency certificate,No,7800,8600,90.7,Good,554
2021,Financial pressures,2,2,"In the past 12 months, did any member of your household ever do any of the following because they were short of money?",Take on debt or sell an asset for day-to-day expenses,Education,"Trade certificate, diploma, college, CEGEP or other non-university certificate","Yes, often",6300,199500,3.2,Use with caution,555
2021,Financial pressures,1,1,"In the past 12 months, did any member of your household ever do any of the following because they were short of money?",Asked for financial help from friends or relatives for day-to-day expenses,Racial identity,Racialized,"Yes, often",11800,327000,3.6,Good,556
2018,Housing quality & needs,56,50,Why does your dwelling not have all the adaptations your household needs?,Not allowed to do it,Education,Less than high school diploma or its equivalent,No,5400,6200,87.1,Good,557
2018,Financial pressures,2,2,"In the past 12 months, did any member of your household ever do any of the following because they were short of money?",Take on debt or sell an asset for day-to-day expenses,Education,"Trade certificate, diploma, college, CEGEP or other non-university certificate","Yes, often",11000,200400,5.5,Good,558
2018,Financial pressures,1,1,"In the past 12 months, did any member of your household ever do any of the following because they were short of money?",Asked for financial help from friends or relatives for day-to-day expenses,Sexual orientation,LGBTQ2S+,No,13200,19800,66.7,Good,559
2018,Housing quality & needs,56,50,Why does your dwelling not have all the adaptations your household needs?,Not allowed to do it,Sex,Male,No,18100,20100,90,Good,560
2018,Financial pressures,2,2,"In the past 12 months, did any member of your household ever do any of the following because they were short of money?",Take on debt or sell an asset for day-to-day expenses,Sex,Female,"Yes, often",30000,532300,5.6,Good,561
2018,Housing quality & needs,56,50,Why does your dwelling not have all the adaptations your household needs?,Not allowed to do it,Racial identity,Non-racialized,No,25800,27900,92.5,Good,562
2021,Financial pressures,2,2,"In the past 12 months, did any member of your household ever do any of the following because they were short of money?",Take on debt or sell an asset for day-to-day expenses,Education,University certificate,"Yes, often",5200,423000,1.2,Use with caution,563
2021,Financial pressures,2,2,"In the past 12 months, did any member of your household ever do any of the following because they were short of money?",Take on debt or sell an asset for day-to-day expenses,Sex,Female,"Yes, often",10900,549900,2,Good,564
2021,Financial pressures,1,1,"In the past 12 months, did any member of your household ever do any of the following because they were short of money?",Asked for financial help from friends or relatives for day-to-day expenses,Sexual orientation,LGBTQ2S+,No,17700,23500,75.3,Good,565
2018,Housing quality & needs,56,50,Why does your dwelling not have all the adaptations your household needs?,Not allowed to do it,,Total,No,37200,41400,89.9,Good,566
2018,Financial pressures,2,2,"In the past 12 months, did any member of your household ever do any of the following because they were short of money?",Take on debt or sell an asset for day-to-day expenses,Education,University certificate,"Yes, often",15200,405300,3.8,Good,567
2018,Financial pressures,2,2,"In the past 12 months, did any member of your household ever do any of the following because they were short of money?",Take on debt or sell an asset for day-to-day expenses,Sexual orientation,Heterosexual,"Yes, often",15500,388600,4,Good,568
2018,Financial pressures,1,1,"In the past 12 months, did any member of your household ever do any of the following because they were short of money?",Asked for financial help from friends or relatives for day-to-day expenses,Sex,Female,No,436900,532300,82.1,Good,569
2018,Housing quality & needs,56,50,Why does your dwelling not have all the adaptations your household needs?,Not allowed to do it,Education,"Trade certificate, diploma, college, CEGEP or other non-university certificate",No,6100,7800,78.2,Good,570
2018,Housing quality & needs,56,50,Why does your dwelling not have all the adaptations your household needs?,Not allowed to do it,Education,University certificate,No,14300,14600,97.9,Good,571
2018,Financial pressures,2,2,"In the past 12 months, did any member of your household ever do any of the following because they were short of money?",Take on debt or sell an asset for day-to-day expenses,Racial identity,Racialized,"Yes, often",18200,285000,6.4,Good,572
2018,Housing quality & needs,56,50,Why does your dwelling not have all the adaptations your household needs?,Not allowed to do it,Racial identity,Racialized,No,11000,13100,84,Good,573
2021,Financial pressures,2,2,"In the past 12 months, did any member of your household ever do any of the following because they were short of money?",Take on debt or sell an asset for day-to-day expenses,Sexual orientation,Heterosexual,"Yes, often",8900,402200,2.2,Acceptable,574
2021,Financial pressures,1,1,"In the past 12 months, did any member of your household ever do any of the following because they were short of money?",Asked for financial help from friends or relatives for day-to-day expenses,Sex,Female,No,480300,549900,87.3,Good,575
2018,Housing quality & needs,58,52,Why does your dwelling not have all the adaptations your household needs?,Not enough time yet,Sexual orientation,LGBTQ2S+,Yes,0,1100,0,Suppressed,576
2018,Financial pressures,1,1,"In the past 12 months, did any member of your household ever do any of the following because they were short of money?",Asked for financial help from friends or relatives for day-to-day expenses,Sexual orientation,Heterosexual,No,333700,388600,85.9,Good,577
2018,Financial pressures,2,2,"In the past 12 months, did any member of your household ever do any of the following because they were short of money?",Take on debt or sell an asset for day-to-day expenses,Education,High school diploma or a equivalency certificate,"Yes, often",9600,187600,5.1,Good,578
2018,Housing quality & needs,58,52,Why does your dwelling not have all the adaptations your household needs?,Not enough time yet,Sex,Female,Yes,4100,21100,19.4,Acceptable,579
2021,Financial pressures,1,1,"In the past 12 months, did any member of your household ever do any of the following because they were short of money?",Asked for financial help from friends or relatives for day-to-day expenses,Sexual orientation,Heterosexual,No,352100,402200,87.5,Good,580
2021,Financial pressures,2,2,"In the past 12 months, did any member of your household ever do any of the following because they were short of money?",Take on debt or sell an asset for day-to-day expenses,Racial identity,Racialized,"Yes, often",9700,327000,3,Good,581
2021,Financial pressures,2,2,"In the past 12 months, did any member of your household ever do any of the following because they were short of money?",Take on debt or sell an asset for day-to-day expenses,Education,High school diploma or a equivalency certificate,"Yes, often",9100,207800,4.4,Good,582
2018,Housing quality & needs,58,52,Why does your dwelling not have all the adaptations your household needs?,Not enough time yet,Sexual orientation,Heterosexual,Yes,2500,12700,19.7,Use with caution,583
2018,Financial pressures,1,1,"In the past 12 months, did any member of your household ever do any of the following because they were short of money?",Asked for financial help from friends or relatives for day-to-day expenses,Education,High school diploma or a equivalency certificate,No,149900,187600,79.9,Good,584
2018,Financial pressures,2,2,"In the past 12 months, did any member of your household ever do any of the following because they were short of money?",Take on debt or sell an asset for day-to-day expenses,Sexual orientation,LGBTQ2S+,No,13500,19800,68.2,Good,585
2018,Financial pressures,2,2,"In the past 12 months, did any member of your household ever do any of the following because they were short of money?",Take on debt or sell an asset for day-to-day expenses,Education,Less than high school diploma or its equivalent,"Yes, often",4100,84200,4.9,Acceptable,586
2018,Housing quality & needs,58,52,Why does your dwelling not have all the adaptations your household needs?,Not enough time yet,Education,High school diploma or a equivalency certificate,Yes,2900,8600,33.7,Use with caution,587
2021,Financial pressures,2,2,"In the past 12 months, did any member of your household ever do any of the following because they were short of money?",Take on debt or sell an asset for day-to-day expenses,Sexual orientation,LGBTQ2S+,No,19500,23500,83,Good,588
2021,Financial pressures,2,2,"In the past 12 months, did any member of your household ever do any of the following because they were short of money?",Take on debt or sell an asset for day-to-day expenses,Education,Less than high school diploma or its equivalent,"Yes, often",2100,87500,2.4,Use with caution,589
2018,Housing quality & needs,58,52,Why does your dwelling not have all the adaptations your household needs?,Not enough time yet,Education,Less than high school diploma or its equivalent,Yes,,6100,,Suppressed,590
2021,Financial pressures,1,1,"In the past 12 months, did any member of your household ever do any of the following because they were short of money?",Asked for financial help from friends or relatives for day-to-day expenses,Education,High school diploma or a equivalency certificate,No,172500,207800,83,Good,591
2018,Housing quality & needs,58,52,Why does your dwelling not have all the adaptations your household needs?,Not enough time yet,Sex,Male,Yes,3800,20100,18.9,Use with caution,592
2018,Financial pressures,1,1,"In the past 12 months, did any member of your household ever do any of the following because they were short of money?",Asked for financial help from friends or relatives for day-to-day expenses,Education,Less than high school diploma or its equivalent,No,69400,84200,82.4,Good,593
2018,Housing quality & needs,58,52,Why does your dwelling not have all the adaptations your household needs?,Not enough time yet,Racial identity,Non-racialized,Yes,7800,27900,28,Suppressed,594
2021,Financial pressures,1,1,"In the past 12 months, did any member of your household ever do any of the following because they were short of money?",Asked for financial help from friends or relatives for day-to-day expenses,Education,Less than high school diploma or its equivalent,No,74300,87500,84.9,Good,595
2018,Financial pressures,2,2,"In the past 12 months, did any member of your household ever do any of the following because they were short of money?",Take on debt or sell an asset for day-to-day expenses,Sex,Male,"Yes, often",23000,524100,4.4,Good,596
2018,Housing quality & needs,58,52,Why does your dwelling not have all the adaptations your household needs?,Not enough time yet,,Total,Yes,7900,41300,19.1,Acceptable,597
2018,Financial pressures,2,2,"In the past 12 months, did any member of your household ever do any of the following because they were short of money?",Take on debt or sell an asset for day-to-day expenses,Sex,Female,No,435200,532300,81.8,Good,598
2018,Financial pressures,1,1,"In the past 12 months, did any member of your household ever do any of the following because they were short of money?",Asked for financial help from friends or relatives for day-to-day expenses,Sex,Male,No,442900,524100,84.5,Good,599
2018,Housing quality & needs,58,52,Why does your dwelling not have all the adaptations your household needs?,Not enough time yet,Education,"Trade certificate, diploma, college, CEGEP or other non-university certificate",Yes,1900,7700,24.7,Use with caution,600
2018,Housing quality & needs,58,52,Why does your dwelling not have all the adaptations your household needs?,Not enough time yet,Education,University certificate,Yes,2200,14600,15.1,Use with caution,601
2018,Housing quality & needs,58,52,Why does your dwelling not have all the adaptations your household needs?,Not enough time yet,Racial identity,Racialized,Yes,,13000,,Acceptable,602
2018,Housing quality & needs,58,52,Why does your dwelling not have all the adaptations your household needs?,Not enough time yet,Sexual orientation,LGBTQ2S+,No,1100,1100,100,Use with caution,603
2018,Housing quality & needs,58,52,Why does your dwelling not have all the adaptations your household needs?,Not enough time yet,Education,Less than high school diploma or its equivalent,No,5400,6100,88.5,Acceptable,604
2021,Financial pressures,1,1,"In the past 12 months, did any member of your household ever do any of the following because they were short of money?",Asked for financial help from friends or relatives for day-to-day expenses,Racial identity,Racialized,No,274600,327000,84,Good,605
2018,Financial pressures,3,3,"In the past 12 months, did any member of your household ever do any of the following because they were short of money?",Have to turn to a charity organization,Sexual orientation,LGBTQ2S+,"Yes, sometimes",1000,19800,5.1,Use with caution,606
2021,Financial pressures,3,3,"In the past 12 months, did any member of your household ever do any of the following because they were short of money?",Have to turn to a charity organization,Sexual orientation,LGBTQ2S+,"Yes, sometimes",,23500,,Suppressed,607
2018,Financial pressures,3,3,"In the past 12 months, did any member of your household ever do any of the following because they were short of money?",Have to turn to a charity organization,Sex,Female,"Yes, sometimes",19800,532300,3.7,Good,608
2021,Financial pressures,3,3,"In the past 12 months, did any member of your household ever do any of the following because they were short of money?",Have to turn to a charity organization,Sex,Female,"Yes, sometimes",14800,549900,2.7,Good,609
2018,Financial pressures,3,3,"In the past 12 months, did any member of your household ever do any of the following because they were short of money?",Have to turn to a charity organization,Sexual orientation,Heterosexual,"Yes, sometimes",10600,388600,2.7,Good,610
2021,Financial pressures,3,3,"In the past 12 months, did any member of your household ever do any of the following because they were short of money?",Have to turn to a charity organization,Sexual orientation,Heterosexual,"Yes, sometimes",10300,402200,2.6,Good,611
2018,Financial pressures,3,3,"In the past 12 months, did any member of your household ever do any of the following because they were short of money?",Have to turn to a charity organization,Education,High school diploma or a equivalency certificate,"Yes, sometimes",6000,187600,3.2,Good,612
2021,Financial pressures,3,3,"In the past 12 months, did any member of your household ever do any of the following because they were short of money?",Have to turn to a charity organization,Education,High school diploma or a equivalency certificate,"Yes, sometimes",9500,207800,4.6,Acceptable,613
2018,Financial pressures,3,3,"In the past 12 months, did any member of your household ever do any of the following because they were short of money?",Have to turn to a charity organization,Education,Less than high school diploma or its equivalent,"Yes, sometimes",5300,84200,6.3,Good,614
2021,Financial pressures,3,3,"In the past 12 months, did any member of your household ever do any of the following because they were short of money?",Have to turn to a charity organization,Education,Less than high school diploma or its equivalent,"Yes, sometimes",4700,87500,5.4,Acceptable,615
2018,Financial pressures,3,3,"In the past 12 months, did any member of your household ever do any of the following because they were short of money?",Have to turn to a charity organization,Sex,Male,"Yes, sometimes",16700,524100,3.2,Good,616
2021,Financial pressures,3,3,"In the past 12 months, did any member of your household ever do any of the following because they were short of money?",Have to turn to a charity organization,Sex,Male,"Yes, sometimes",13500,543600,2.5,Good,617
2018,Financial pressures,3,3,"In the past 12 months, did any member of your household ever do any of the following because they were short of money?",Have to turn to a charity organization,Racial identity,Non-racialized,"Yes, sometimes",19600,761000,2.6,Good,618
2021,Financial pressures,3,3,"In the past 12 months, did any member of your household ever do any of the following because they were short of money?",Have to turn to a charity organization,Racial identity,Non-racialized,"Yes, sometimes",17900,765000,2.3,Good,619
2021,Financial pressures,3,3,"In the past 12 months, did any member of your household ever do any of the following because they were short of money?",Have to turn to a charity organization,Overall,Total,"Yes, sometimes",28300,1093500,2.6,Good,620
2018,Financial pressures,3,3,"In the past 12 months, did any member of your household ever do any of the following because they were short of money?",Have to turn to a charity organization,,Total,"Yes, sometimes",36500,1057400,3.5,Good,621
2021,Financial pressures,3,3,"In the past 12 months, did any member of your household ever do any of the following because they were short of money?",Have to turn to a charity organization,Education,"Trade certificate, diploma, college, CEGEP or other non-university certificate","Yes, sometimes",3600,199500,1.8,Use with caution,622
2018,Financial pressures,3,3,"In the past 12 months, did any member of your household ever do any of the following because they were short of money?",Have to turn to a charity organization,Education,"Trade certificate, diploma, college, CEGEP or other non-university certificate","Yes, sometimes",7400,200400,3.7,Good,623
2021,Financial pressures,3,3,"In the past 12 months, did any member of your household ever do any of the following because they were short of money?",Have to turn to a charity organization,Education,University certificate,"Yes, sometimes",5900,423000,1.4,Use with caution,624
2018,Financial pressures,3,3,"In the past 12 months, did any member of your household ever do any of the following because they were short of money?",Have to turn to a charity organization,Education,University certificate,"Yes, sometimes",7200,405300,1.8,Good,625
2018,Financial pressures,3,3,"In the past 12 months, did any member of your household ever do any of the following because they were short of money?",Have to turn to a charity organization,Racial identity,Racialized,"Yes, sometimes",16800,285000,5.9,Good,626
2021,Financial pressures,3,3,"In the past 12 months, did any member of your household ever do any of the following because they were short of money?",Have to turn to a charity organization,Racial identity,Racialized,"Yes, sometimes",10600,327000,3.2,Good,627
2018,Financial pressures,3,3,"In the past 12 months, did any member of your household ever do any of the following because they were short of money?",Have to turn to a charity organization,Sexual orientation,LGBTQ2S+,"Yes, often",,19800,,Good,628
2021,Financial pressures,3,3,"In the past 12 months, did any member of your household ever do any of the following because they were short of money?",Have to turn to a charity organization,Sexual orientation,LGBTQ2S+,"Yes, often",700,23500,3,Use with caution,629
2018,Financial pressures,3,3,"In the past 12 months, did any member of your household ever do any of the following because they were short of money?",Have to turn to a charity organization,Sex,Female,"Yes, often",10400,532300,2,Good,630
2021,Financial pressures,2,2,"In the past 12 months, did any member of your household ever do any of the following because they were short of money?",Take on debt or sell an asset for day-to-day expenses,Sex,Female,No,505500,549900,91.9,Good,631
2021,Financial pressures,1,1,"In the past 12 months, did any member of your household ever do any of the following because they were short of money?",Asked for financial help from friends or relatives for day-to-day expenses,Sex,Male,No,466300,543600,85.8,Good,632
2021,Financial pressures,3,3,"In the past 12 months, did any member of your household ever do any of the following because they were short of money?",Have to turn to a charity organization,Sex,Female,"Yes, often",7200,549900,1.3,Good,633
2018,Financial pressures,3,3,"In the past 12 months, did any member of your household ever do any of the following because they were short of money?",Have to turn to a charity organization,Sexual orientation,Heterosexual,"Yes, often",5000,388600,1.3,Good,634
2021,Financial pressures,3,3,"In the past 12 months, did any member of your household ever do any of the following because they were short of money?",Have to turn to a charity organization,Sexual orientation,Heterosexual,"Yes, often",4100,402200,1,Good,635
2018,Financial pressures,3,3,"In the past 12 months, did any member of your household ever do any of the following because they were short of money?",Have to turn to a charity organization,Education,High school diploma or a equivalency certificate,"Yes, often",3400,187600,1.8,Acceptable,636
2021,Financial pressures,3,3,"In the past 12 months, did any member of your household ever do any of the following because they were short of money?",Have to turn to a charity organization,Education,High school diploma or a equivalency certificate,"Yes, often",5000,207800,2.4,Acceptable,637
2018,Financial pressures,3,3,"In the past 12 months, did any member of your household ever do any of the following because they were short of money?",Have to turn to a charity organization,Education,Less than high school diploma or its equivalent,"Yes, often",2500,84200,3,Acceptable,638
2021,Financial pressures,3,3,"In the past 12 months, did any member of your household ever do any of the following because they were short of money?",Have to turn to a charity organization,Education,Less than high school diploma or its equivalent,"Yes, often",2500,87500,2.9,Use with caution,639
2018,Financial pressures,3,3,"In the past 12 months, did any member of your household ever do any of the following because they were short of money?",Have to turn to a charity organization,Sex,Male,"Yes, often",5900,524100,1.1,Good,640
2021,Financial pressures,3,3,"In the past 12 months, did any member of your household ever do any of the following because they were short of money?",Have to turn to a charity organization,Sex,Male,"Yes, often",6500,543600,1.2,Good,641
2018,Financial pressures,3,3,"In the past 12 months, did any member of your household ever do any of the following because they were short of money?",Have to turn to a charity organization,Racial identity,Non-racialized,"Yes, often",6200,761000,0.8,Good,642
2021,Financial pressures,3,3,"In the past 12 months, did any member of your household ever do any of the following because they were short of money?",Have to turn to a charity organization,Racial identity,Non-racialized,"Yes, often",9600,765000,1.3,Good,643
2021,Financial pressures,3,3,"In the past 12 months, did any member of your household ever do any of the following because they were short of money?",Have to turn to a charity organization,Overall,Total,"Yes, often",13700,1093500,1.3,Good,644
2018,Financial pressures,3,3,"In the past 12 months, did any member of your household ever do any of the following because they were short of money?",Have to turn to a charity organization,,Total,"Yes, often",16300,1057400,1.5,Good,645
2021,Financial pressures,3,3,"In the past 12 months, did any member of your household ever do any of the following because they were short of money?",Have to turn to a charity organization,Education,"Trade certificate, diploma, college, CEGEP or other non-university certificate","Yes, often",2200,199500,1.1,Use with caution,646
2018,Financial pressures,3,3,"In the past 12 months, did any member of your household ever do any of the following because they were short of money?",Have to turn to a charity organization,Education,"Trade certificate, diploma, college, CEGEP or other non-university certificate","Yes, often",2900,200400,1.4,Acceptable,647
2021,Financial pressures,3,3,"In the past 12 months, did any member of your household ever do any of the following because they were short of money?",Have to turn to a charity organization,Education,University certificate,"Yes, often",,423000,,Suppressed,648
2018,Financial pressures,3,3,"In the past 12 months, did any member of your household ever do any of the following because they were short of money?",Have to turn to a charity organization,Education,University certificate,"Yes, often",2000,405300,0.5,Use with caution,649
2018,Financial pressures,3,3,"In the past 12 months, did any member of your household ever do any of the following because they were short of money?",Have to turn to a charity organization,Racial identity,Racialized,"Yes, often",10000,285000,3.5,Good,650
2021,Financial pressures,3,3,"In the past 12 months, did any member of your household ever do any of the following because they were short of money?",Have to turn to a charity organization,Racial identity,Racialized,"Yes, often",4300,327000,1.3,Good,651
2018,Financial pressures,3,3,"In the past 12 months, did any member of your household ever do any of the following because they were short of money?",Have to turn to a charity organization,Sexual orientation,LGBTQ2S+,No,17900,19800,90.4,Good,652
2021,Financial pressures,3,3,"In the past 12 months, did any member of your household ever do any of the following because they were short of money?",Have to turn to a charity organization,Sexual orientation,LGBTQ2S+,No,21100,23500,89.8,Good,653
2018,Financial pressures,3,3,"In the past 12 months, did any member of your household ever do any of the following because they were short of money?",Have to turn to a charity organization,Sex,Female,No,494900,532300,93,Good,654
2021,Financial pressures,3,3,"In the past 12 months, did any member of your household ever do any of the following because they were short of money?",Have to turn to a charity organization,Sex,Female,No,520500,549900,94.7,Good,655
2018,Financial pressures,3,3,"In the past 12 months, did any member of your household ever do any of the following because they were short of money?",Have to turn to a charity organization,Sexual orientation,Heterosexual,No,366100,388600,94.2,Good,656
2018,Financial pressures,2,2,"In the past 12 months, did any member of your household ever do any of the following because they were short of money?",Take on debt or sell an asset for day-to-day expenses,Sexual orientation,Heterosexual,No,332300,388600,85.5,Good,657
2021,Financial pressures,2,2,"In the past 12 months, did any member of your household ever do any of the following because they were short of money?",Take on debt or sell an asset for day-to-day expenses,Sexual orientation,Heterosexual,No,366100,402200,91,Good,658
2018,Financial pressures,2,2,"In the past 12 months, did any member of your household ever do any of the following because they were short of money?",Take on debt or sell an asset for day-to-day expenses,Education,High school diploma or a equivalency certificate,No,151700,187600,80.9,Good,659
2021,Financial pressures,2,2,"In the past 12 months, did any member of your household ever do any of the following because they were short of money?",Take on debt or sell an asset for day-to-day expenses,Education,High school diploma or a equivalency certificate,No,186200,207800,89.6,Good,660
2018,Financial pressures,2,2,"In the past 12 months, did any member of your household ever do any of the following because they were short of money?",Take on debt or sell an asset for day-to-day expenses,Education,Less than high school diploma or its equivalent,No,71300,84200,84.7,Good,661
2021,Financial pressures,2,2,"In the past 12 months, did any member of your household ever do any of the following because they were short of money?",Take on debt or sell an asset for day-to-day expenses,Education,Less than high school diploma or its equivalent,No,80600,87500,92.1,Good,662
2018,Financial pressures,2,2,"In the past 12 months, did any member of your household ever do any of the following because they were short of money?",Take on debt or sell an asset for day-to-day expenses,Sex,Male,No,446800,524100,85.3,Good,663
2021,Financial pressures,2,2,"In the past 12 months, did any member of your household ever do any of the following because they were short of money?",Take on debt or sell an asset for day-to-day expenses,Sex,Male,No,493900,543600,90.9,Good,664
2018,Financial pressures,2,2,"In the past 12 months, did any member of your household ever do any of the following because they were short of money?",Take on debt or sell an asset for day-to-day expenses,Racial identity,Non-racialized,No,637800,761000,83.8,Good,665
2021,Financial pressures,2,2,"In the past 12 months, did any member of your household ever do any of the following because they were short of money?",Take on debt or sell an asset for day-to-day expenses,Racial identity,Non-racialized,No,701000,765000,91.6,Good,666
2021,Financial pressures,2,2,"In the past 12 months, did any member of your household ever do any of the following because they were short of money?",Take on debt or sell an asset for day-to-day expenses,Overall,Total,No,999300,1093500,91.4,Good,667
2018,Financial pressures,2,2,"In the past 12 months, did any member of your household ever do any of the following because they were short of money?",Take on debt or sell an asset for day-to-day expenses,,Total,No,882900,1057400,83.5,Good,668
